Title: Observations of the Naked-Eye GRB 080319B: Implications of Nature's 
       Brightest Explosion  
Authors: Bloom J.S., Perley D.A., Li W., Butler N.R., Miller A.A., Kocevski D.,
         Kann D.A., Foley R.J., Chen H.-W., Filippenko A.V., Starr D.L., 
         Macomber .B., Prochaska J.X., Chornock R., Poznanski D., Klose S., 
         Skrutskie M.F., Lopez S., Hall P., Glazebrook K., Blake C.H. 
Table: PAIRITEL Observations of GRB 080319B
================================================================================
Byte-by-byte Description of file: apj292633t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  7 F7.1   s       Tmid   Exposure mid-time (1)
   9- 12 A4     ---     Filt   Filter used in observation
  14- 19 F6.1   s       Exp    Exposure time  
  21- 26 F6.3   mag     mag    Observed magnitude in Filt (2)
  28- 32 F5.3   mag   e_mag    Uncertainty in mag
  34- 41 F8.1   uJy     Flux   Observed flux density in Filt (2)
  43- 48 F6.1   uJy   e_Flux   Uncertainty in Flux 
  50- 50 A1     ---     Flag   [X] Indicates data not used in modeling
--------------------------------------------------------------------------------
Note (1): Measured from the Swift trigger (UTC 06:12:49).
Note (2): Not corrected for Galactic extinction.
--------------------------------------------------------------------------------
  896.2 H       7.8 11.842 0.043  18762.0  729.2  
  904.1 H       7.8 11.889 0.043  17972.2  697.4  
  924.1 H       7.8 11.892 0.043  17914.3  701.0  
  932.4 H       7.8 11.903 0.043  17725.6  694.8  
  940.3 H       7.8 11.840 0.043  18789.7  735.7  
  960.3 H       7.8 11.990 0.044  16372.7  645.6  
  968.5 H       7.8 12.023 0.044  15882.5  627.1  
  976.5 H       7.8 11.960 0.044  16825.2  661.5  
  996.5 H       7.8 11.959 0.044  16846.9  669.9  
 1004.8 H       7.8 12.030 0.044  15774.7  624.4  
 1012.7 H       7.8 12.037 0.044  15676.2  621.3  
 1032.7 H       7.8 12.130 0.044  14381.4  571.1  
 1041.0 H       7.8 12.187 0.044  13652.1  544.7  
 1049.0 H       7.8 12.172 0.044  13842.0  554.2  
 1069.0 H       7.8 12.242 0.045  12981.4  522.4  
 1077.2 H       7.8 12.228 0.045  13145.0  531.8  
 1085.2 H       7.8 12.246 0.045  12927.7  521.4  
 1105.2 H       7.8 12.249 0.045  12895.6  526.2  
 1113.5 H       7.8 12.239 0.045  13008.9  530.9  
 1121.4 H       7.8 12.323 0.045  12039.3  490.9  
 1141.4 H       7.8 12.341 0.046  11851.1  493.9  
 1149.7 H       7.8 12.417 0.046  11049.9  460.1  
 1157.6 H       7.8 12.433 0.046  10886.3  447.2  
 1177.6 H       7.8 12.370 0.045  11535.6  468.5  
 1185.8 H       7.8 12.410 0.045  11112.2  454.9  
 1193.8 H       7.8 12.467 0.047  10553.6  446.3  
 1221.5 H      23.5 12.389 0.049  11330.3  495.5  
 1257.5 H      23.5 12.508 0.049  10156.9  443.9  
 1293.5 H      23.5 12.687 0.049   8613.1  378.6  
 1330.0 H      23.5 12.653 0.049   8885.5  389.3  
 1366.0 H      23.5 12.691 0.049   8584.6  376.5  
 1402.0 H      23.5 12.882 0.049   7196.5  316.5  
 1438.5 H      23.5 12.943 0.049   6805.2  299.7  
 1474.5 H      23.5 12.983 0.049   6557.2  291.0  
 1510.5 H      23.5 12.972 0.049   6624.0  292.6  
 1547.0 H      23.5 13.081 0.049   5991.8  264.8  
 1583.0 H      23.5 13.055 0.049   6138.2  273.1  
 1619.5 H      23.5 13.196 0.049   5391.6  239.7  
 1656.5 H      23.5 13.354 0.050   4659.7  208.3  
 1692.5 H      23.5 13.224 0.050   5251.9  235.6  
 1729.0 H      23.5 13.205 0.050   5345.2  238.5  
 1765.0 H      23.5 13.364 0.050   4617.4  207.2  
 1801.5 H      23.5 13.503 0.050   4064.1  183.2  
 1837.5 H      23.5 13.402 0.051   4459.8  202.9  
 1891.5 H      47.1 13.537 0.049   3937.7  175.1  
 1964.0 H      47.1 13.554 0.050   3874.7  173.0  
 2036.5 H      47.1 13.655 0.050   3533.5  159.7  
 2109.0 H      47.1 13.775 0.050   3163.2  141.2  
 2181.5 H      47.1 13.746 0.050   3248.5  146.3  
 2254.0 H      47.1 13.783 0.050   3139.9  142.1  
 2326.0 H      47.1 13.863 0.051   2915.5  132.5  
 2399.5 H      47.1 13.990 0.050   2594.7  117.6  
 2472.0 H      47.1 13.904 0.051   2808.0  128.1  
 2544.5 H      47.1 14.034 0.051   2491.2  113.7  
 2616.5 H      47.1 14.062 0.051   2428.0  111.5  
 2689.0 H      47.1 14.074 0.051   2401.9  110.8  
 2761.5 H      47.1 14.205 0.052   2127.2   99.8  
 2834.0 H      47.1 14.160 0.051   2218.4  101.8  
 2906.5 H      47.1 14.187 0.052   2163.9  100.6  
 2978.5 H      47.1 14.278 0.054   1989.6   95.9  
 3051.0 H      47.1 14.338 0.053   1883.5   89.3  
 3123.5 H      47.1 14.344 0.053   1873.1   89.1  
 3195.5 H      47.1 14.422 0.053   1742.0   82.4  
 3268.5 H      47.1 14.303 0.052   1945.0   91.3  
 3340.5 H      47.1 14.520 0.056   1592.5   79.9  
 3414.0 H      47.1 14.488 0.053   1640.3   78.7  
 3559.0 H      47.1 14.517 0.056   1596.9   80.7  
 3632.0 H      47.1 14.508 0.054   1610.2   78.8  
 3892.5 H     227.6 14.753 0.053   1284.6   60.8  
 4251.0 H     235.4 14.799 0.052   1232.0   57.7  
 4613.0 H     235.4 15.026 0.055    999.4   49.3  
 4975.5 H     235.4 15.101 0.055    932.2   45.7  
 5338.5 H     235.4 15.108 0.056    926.8   46.4  
 5703.0 H     235.4 15.129 0.055    908.8   44.5  
 6068.5 H     235.4 15.357 0.056    736.4   37.2  
 6431.5 H     235.4 15.497 0.055    647.4   31.9  
 6860.0 H     313.9 15.469 0.056    664.5   33.6  
 7613.0 H     353.2 15.662 0.058    556.3   28.8  
 8066.5 H     470.9 15.827 0.059    477.9   25.1  
 8973.0 H     470.9 15.915 0.060    440.4   23.7  
10061.5 H     894.7 16.059 0.059    385.8   20.4  
11738.5 H    1169.3 16.242 0.060    326.0   17.6  
13511.0 H    1106.6 16.278 0.061    315.3   17.3  
15328.5 H    1169.3 16.577 0.065    239.5   14.0  
17109.5 H     973.2 16.677 0.074    218.4   14.4  
19132.5 H    1389.1 16.763 0.072    201.7   12.9  
21321.0 H    1404.8 16.856 0.070    185.1   11.6 
  380.1 K_s_    7.8  9.312 0.058 125650.6 6541.1  
  388.4 K_s_    7.8  9.310 0.058 125949.5 6557.6  
  396.3 K_s_    7.8  9.419 0.058 113840.4 5927.9  
  416.3 K_s_    7.8  9.508 0.058 104946.6 5465.3  
  424.5 K_s_    7.8  9.546 0.058 101331.5 5277.5  
  432.4 K_s_    7.8  9.638 0.058  93031.2 4845.6  
  452.4 K_s_    7.8  9.800 0.058  80131.7 4175.7  
  460.7 K_s_    7.8  9.882 0.058  74348.6 3874.4  
  468.6 K_s_    7.8  9.906 0.058  72710.4 3789.8  
  488.6 K_s_    7.8 10.029 0.058  64947.2 3386.3  
  496.9 K_s_    7.8 10.115 0.058  59973.6 3126.9  
  504.8 K_s_    7.8 10.129 0.058  59232.5 3088.6  
  525.8 K_s_    7.8 10.072 0.058  62408.0 3254.7  
  534.1 K_s_    7.8 10.235 0.058  53708.1 2802.0  
  542.0 K_s_    7.8 10.240 0.058  53436.8 2788.6  
  561.9 K_s_    7.8 10.312 0.058  50026.5 2612.4  
  570.2 K_s_    7.8 10.377 0.058  47115.1 2460.4  
  578.2 K_s_    7.8 10.502 0.058  42010.7 2195.2  
  598.2 K_s_    7.8 10.398 0.058  46238.1 2416.5  
  606.4 K_s_    7.8 10.492 0.058  42399.5 2214.8  
  614.4 K_s_    7.8 10.488 0.058  42540.3 2222.9  
  634.4 K_s_    7.8 10.603 0.058  38257.8 2000.8  
  642.7 K_s_    7.8 10.562 0.058  39737.5 2082.1  
  650.6 K_s_    7.8 10.561 0.058  39763.1 2079.5  
  670.6 K_s_    7.8 10.728 0.058  34109.9 1785.5  
  678.9 K_s_    7.8 10.753 0.059  33327.3 1750.4  
  686.8 K_s_    7.8 10.687 0.058  35416.0 1856.8  
  706.8 K_s_    7.8 10.797 0.058  32018.4 1679.0  
  715.0 K_s_    7.8 10.749 0.059  33456.5 1756.8  
  723.0 K_s_    7.8 10.826 0.059  31163.1 1634.9  
  743.0 K_s_    7.8 10.830 0.059  31031.3 1630.2  
  751.3 K_s_    7.8 10.916 0.059  28689.3 1508.2  
  759.2 K_s_    7.8 10.844 0.059  30653.5 1608.5  
  787.5 K_s_    7.8 10.971 0.059  27274.7 1436.1  
  795.5 K_s_    7.8 11.003 0.059  26475.3 1392.5  
  815.5 K_s_    7.8 10.949 0.059  27827.9 1469.6  
  823.8 K_s_    7.8 11.160 0.059  22915.0 1207.5  
  831.7 K_s_    7.8 11.169 0.059  22721.7 1198.6  
  851.7 K_s_    7.8 11.092 0.059  24391.6 1288.9  
  860.0 K_s_    7.8 11.106 0.059  24070.2 1269.7  
  867.9 K_s_    7.8 11.130 0.059  23544.0 1243.4  
  888.0 K_s_    7.8 11.089 0.059  24450.1 1288.7  
  896.2 K_s_    7.8 11.157 0.059  22963.6 1212.0  
  904.1 K_s_    7.8 11.225 0.059  21575.5 1138.8  
  924.1 K_s_    7.8 11.267 0.059  20756.8 1100.9  
  932.4 K_s_    7.8 11.319 0.059  19784.3 1047.6  
  940.3 K_s_    7.8 11.288 0.059  20359.2 1079.1  
  960.3 K_s_    7.8 11.337 0.059  19455.4 1031.2  
  968.5 K_s_    7.8 11.367 0.059  18932.2 1009.3  
  976.5 K_s_    7.8 11.377 0.059  18751.7  993.9  
  996.5 K_s_    7.8 11.479 0.059  17070.3  909.7  
 1004.8 K_s_    7.8 11.406 0.059  18265.9  971.1  
 1012.7 K_s_    7.8 11.407 0.060  18249.0  973.2  
 1032.7 K_s_    7.8 11.582 0.060  15535.3  830.4  
 1041.0 K_s_    7.8 11.594 0.060  15363.2  826.1  
 1049.0 K_s_    7.8 11.637 0.060  14765.2  794.9  
 1069.0 K_s_    7.8 11.608 0.060  15166.3  821.2  
 1077.2 K_s_    7.8 11.624 0.061  14945.8  811.5  
 1085.2 K_s_    7.8 11.658 0.060  14485.1  783.6  
 1105.2 K_s_    7.8 11.774 0.061  13007.7  705.6  
 1113.5 K_s_    7.8 11.736 0.061  13476.0  733.4  
 1121.4 K_s_    7.8 11.691 0.061  14046.2  762.6  
 1141.4 K_s_    7.8 11.702 0.061  13903.4  762.7  
 1149.7 K_s_    7.8 11.814 0.062  12546.4  691.5  
 1157.6 K_s_    7.8 11.780 0.061  12944.3  702.5  
 1177.6 K_s_    7.8 11.866 0.061  11953.1  656.0  
 1185.8 K_s_    7.8 11.845 0.061  12186.5  669.9  
 1193.8 K_s_    7.8 11.751 0.061  13294.7  729.7  
 1221.5 K_s_   23.5 11.773 0.041  13026.9  480.1  
 1257.5 K_s_   23.5 11.837 0.041  12275.5  452.2  
 1293.5 K_s_   23.5 12.062 0.041   9985.3  369.3  
 1330.0 K_s_   23.5 12.046 0.041  10130.7  375.2  
 1366.0 K_s_   23.5 12.123 0.041   9439.7  351.0  
 1402.0 K_s_   23.5 12.183 0.041   8927.3  331.4  
 1438.5 K_s_   23.5 12.227 0.041   8574.3  321.2  
 1474.5 K_s_   23.5 12.318 0.041   7883.5  294.5  
 1510.5 K_s_   23.5 12.382 0.042   7436.4  279.9  
 1583.0 K_s_   23.5 12.469 0.042   6859.9  258.8  
 1619.5 K_s_   23.5 12.590 0.042   6139.9  233.5  
 1656.5 K_s_   23.5 12.673 0.042   5684.3  217.8  
 1692.5 K_s_   23.5 12.594 0.043   6115.6  235.4  
 1729.0 K_s_   23.5 12.653 0.042   5790.0  221.0  
 1765.0 K_s_   23.5 12.728 0.043   5406.5  209.8  
 1801.5 K_s_   23.5 12.824 0.043   4948.1  192.0  
 1891.5 K_s_   47.1 12.840 0.042   4876.6  186.0  
 1964.0 K_s_   47.1 12.915 0.042   4551.6  173.3  
 2036.5 K_s_   47.1 13.024 0.043   4117.2  158.7  
 2109.0 K_s_   47.1 13.147 0.042   3675.2  140.9  
 2181.5 K_s_   47.1 13.203 0.043   3489.8  135.9  
 2254.0 K_s_   47.1 13.267 0.044   3290.0  130.9  
 2326.0 K_s_   47.1 13.238 0.044   3380.0  132.9  
 2399.5 K_s_   47.1 13.334 0.044   3092.6  123.7  
 2472.0 K_s_   47.1 13.388 0.045   2942.3  118.5  
 2544.5 K_s_   47.1 13.490 0.045   2679.2  107.8  
